body,title,url
"/ NoticiasInformación basada en hechos y verificada de primera mano por el reportero, o reportada y verificada por fuentes expertas.",Juan Reynoso: el largo camino que recorrió para ser uno de los favoritos para asumir la Selección Peruana,https://elcomercio.pe/deporte-total/seleccion/juan-reynoso-el-camino-que-recorrio-para-ser-uno-de-los-favoritos-para-asumir-la-seleccion-peruana-ricardo-gareca-cruz-azul-universitario-bolognesi-melgar-rmmd-dtcc-noticia/
10/07/2022 _ 11:00,,https://elcomercio.pe/archivo-elcomercio/
"/ NoticiasInformación basada en hechos y verificada de primera mano por el reportero, o reportada y verificada por fuentes expertas.",“Mayonesa”: la verdad detrás del hit del año 2000 que Daddy Yankee quiere grabar y no puede por esta razón,https://elcomercio.pe/luces/musica/mayonesa-la-verdad-detras-del-hit-del-ano-2000-que-daddy-yankee-quiere-grabar-y-no-puede-por-esta-razon-uruguay-charly-sosa-noticia/
"/ NoticiasInformación basada en hechos y verificada de primera mano por el reportero, o reportada y verificada por fuentes expertas.","Gareca, gracias por devolvernos la fe",https://elcomercio.pe/el-comercio-tv/gareca-gracias-por-devolvernos-la-fe-deporte-noticia/
"/ NoticiasInformación basada en hechos y verificada de primera mano por el reportero, o reportada y verificada por fuentes expertas.",Escapa de la rutina y recarga tus energías en Ranch Pachacamac,https://elcomercio.pe/desde-la-redaccion/escapa-de-la-rutina-y-recarga-tus-energias-en-ranch-pachacamac-noticia/
Editorial,,https://elcomercio.pe/opinion/
"/ ElucidarioProvee contexto, definición y detalle de un tópico específico.",,https://elcomercio.pe/respuestas/loto-plus-en-vivo-resultados-sorteo-3484-del-sabado-16-de-julio-via-youtube-controlar-loto-loteria-de-la-ciudad-tradicional-desquite-sale-o-sale-como-se-juega-argentina-ar-revtli-tdex-lbposting-noticia/
Periodista. Estudió Comunicación Social en la Universidad Nacional Mayor de San Marcos. Diez años de experiencia en medios nacionales. Actualmente se desempeña como redactora de la sección Nacional de El Comercio.,,https://elcomercio.pe/autor/gladys-pereyra/
"Juan Luis del Campo (Lima,1988) es un periodista cultural. Ha trabajado en Reportuit de Perú21, La Prensa y en El Comercio. Actualmente es redactor en la sección de Luces de El Comercio. ",,https://elcomercio.pe/autor/juan-luis2-del-campo/
16/07/2022 _ 19:50,,https://elcomercio.pe/tvmas/
"Periodista de la Unidad de Periodismo de Datos y autora de Niñas sin infancia. Cubre temas de salud y DD.HH., y realiza investigaciones a través de datos. Cofundadora del sitio Salud con lupa. Formó parte de las investigaciones lideradas por el International Consortium of Investigative Journalists (ICIJ): Paradise Papers e Implant Files. 
",,https://elcomercio.pe/autor/mayte-ciriaco/
16/07/2022 _ 18:00,,https://elcomercio.pe/tecnologia/moviles/
"/ NoticiasInformación basada en hechos y verificada de primera mano por el reportero, o reportada y verificada por fuentes expertas.","Brittney Griner, la estrella olímpica por la que se enfrentan EE.UU. y Rusia",https://elcomercio.pe/mundo/actualidad/brittney-griner-la-estrella-olimpica-por-la-que-se-enfrentan-estados-unidos-y-rusia-ecpm-noticia/
"/ NoticiasInformación basada en hechos y verificada de primera mano por el reportero, o reportada y verificada por fuentes expertas.","Vía Canal 9 y TUDN, América vs. Chelsea, en directo",https://elcomercio.pe/deporte-total/futbol-mundial/tudn-en-vivo-america-vs-chelsea-online-link-gratis-sky-canal-de-transmision-del-partido-amistoso-video-rmmd-emcc-mexico-mx-noticia/
Empresa Editora El Comercio. Jorge Salazar Araoz # 171 Santa Catalina La Victoria. Copyright © Elcomercio.pe. Grupo El Comercio - Todos los derechos reservados,,https://elcomercio.pe/desde-la-redaccion/
16/07/2022 _ 18:41,,https://elcomercio.pe/somos/historias/
"/ NoticiasInformación basada en hechos y verificada de primera mano por el reportero, o reportada y verificada por fuentes expertas.",,https://elcomercio.pe/somos/historias/lolo-fernandez-estadio-aniversitario-quienes-son-las-jovenes-promesas-de-universitario-que-se-forman-en-su-casa-hogar-historias-ec-noticia/
"/ NoticiasInformación basada en hechos y verificada de primera mano por el reportero, o reportada y verificada por fuentes expertas.",Alcalde de Lima ante alza en tarifas del Metropolitano: “Tiene que generarnos una preocupación”,https://elcomercio.pe/lima/transporte/metropolitano-alcalde-lima-ante-alza-en-tarifas-tiene-que-generarnos-una-preocupacion-miguel-romero-atu-cosac-rmmn-noticia/
